temperature_c,ldr_left,ldr_right,avg_light,light_diff,voltage_v,current_a,power_w,label,split
67.5,836.58,834.56,835.57,2.02,14.2718,3.1061,44.3302,OVERHEAT,train
40.27,484.73,489.19,486.96,4.46,15.4586,1.2,18.5503,NORMAL,train
50.66,834.49,829.72,832.1,4.77,16.1058,3.3123,53.3475,NORMAL,train
31.45,233.34,240.18,236.76,6.84,14.4954,0.0475,0.6889,LOW_LIGHT,train
78.53,748.68,730.03,739.36,18.65,13.124,2.2516,29.5496,OVERHEAT,train
45.83,626.64,614.25,620.44,12.39,3.2434,4.2303,13.7205,PANEL_FAULT,train
38,119.8,120.31,120.06,0.51,11.7337,0.2901,3.4045,LOW_LIGHT,test
39.56,435.74,468.49,452.12,32.75,19.0356,0.0401,0.7629,PANEL_FAULT,train
51.57,775.47,748.87,762.17,26.6,14.7097,2.9988,44.112,NORMAL,validation
76.49,912.12,926.91,919.52,14.79,13.3385,3.2757,43.6933,OVERHEAT,train
71.78,486.13,505.72,495.92,19.59,3.6219,4.0428,14.6426,PANEL_FAULT,train
73.85,859.32,843.8,851.56,15.52,13.5762,4.0573,55.0833,OVERHEAT,validation
54.53,810.77,819.95,815.36,9.18,15.0652,2.4945,37.5797,NORMAL,train
31.05,477.5,508.78,493.14,31.28,16.9395,1.2,20.3274,NORMAL,train
38,303.99,278.02,291,25.97,15.526,0.7709,11.9686,LOW_LIGHT,train
45.7,790.23,160.52,475.38,629.71,7,0.4964,3.4748,SHADOW,train
35.47,149.18,143.43,146.3,5.75,14.8226,0.4106,6.0862,LOW_LIGHT,train
64.21,642.82,656.27,649.55,13.45,14.9672,2.3672,35.43,OVERHEAT,train
38,179.74,198.85,189.3,19.11,14.9475,0.3121,4.6658,LOW_LIGHT,validation
30.42,134.59,149.25,141.92,14.66,15.3793,0.4734,7.2808,LOW_LIGHT,validation
37.81,498.7,503.87,501.28,5.17,15.2121,1.351,20.5517,NORMAL,train
30.25,42.77,62.68,52.72,19.91,13.8472,0.0176,0.2439,LOW_LIGHT,train
40.26,481.73,490.2,485.97,8.47,16.9869,1.9513,33.1463,NORMAL,train
36.55,115.33,103.13,109.23,12.2,15.073,0.2779,4.1886,LOW_LIGHT,test
35.04,143.51,156,149.76,12.49,15.044,0.2913,4.3825,LOW_LIGHT,train
46.02,207.42,900.34,553.88,692.92,7.479,0.6385,4.7755,SHADOW,test
53.58,716.99,713.18,715.08,3.81,0.9709,5.3579,5.2022,PANEL_FAULT,train
81.75,847.06,866.17,856.62,19.11,13.4503,2.9671,39.9081,OVERHEAT,train
59.92,979.15,979.28,979.21,0.13,14.2876,3.3313,47.5956,OVERHEAT,train
62.05,914.56,923.4,918.98,8.84,15.3114,3.4286,52.4969,OVERHEAT,train
81.05,880.04,907.7,893.87,27.66,13.8592,3.043,42.1738,OVERHEAT,train
38.95,118.28,448.54,283.41,330.26,10.7889,1.453,15.6767,SHADOW,train
42.46,605.75,605.44,605.6,0.31,16.162,2.7692,44.756,NORMAL,test
46.04,874.81,857.17,865.99,17.64,15.8068,3.9759,62.8459,NORMAL,train
66.23,748.86,724.59,736.72,24.27,14.0361,3.156,44.2984,OVERHEAT,train
35.64,447.18,114.4,280.79,332.78,14.7108,1.7095,25.1474,SHADOW,validation
56.56,862.07,857.29,859.68,4.78,20.0328,0.089,1.7824,PANEL_FAULT,train
