temperature_c,ldr_left,ldr_right,avg_light,light_diff,voltage_v,current_a,power_w,fault_type,split
69.74,841.98,891.24,866.61,49.26,15.37,3.57,54.8709,3,train
39.65,481.2,425.65,453.42,55.55,15.37,1.17,17.9829,0,train
53.57,886.84,861.37,874.1,25.47,15.24,2.91,44.3484,0,train
38.3,317.65,206.12,261.88,111.53,15.61,0.0,0.0,1,train
77.48,786.46,712.02,749.24,74.44,13.03,2.15,28.0145,3,train
44.78,682.27,616.87,649.57,65.4,2.82,3.76,10.6032,4,train
45.11,107.84,113.74,110.79,5.9,12.44,0.47,5.8468,1,test
43.01,442.64,376.3,409.47,66.34,19.47,0.1,1.947,4,train
49.46,857.19,824.87,841.03,32.32,14.81,3.01,44.5781,0,validation
78.93,941.09,989.3,965.2,48.21,12.86,3.09,39.7374,3,train
69.69,472.82,497.67,485.24,24.85,3.42,3.76,12.8592,4,train
71.75,861.11,895.19,878.15,34.08,13.96,3.78,52.7688,3,validation
55.62,867.81,798.08,832.94,69.73,14.79,2.55,37.7145,0,train
22.44,539.44,454.76,497.1,84.68,16.74,1.26,21.0924,0,train
30.24,257.67,281.01,269.34,23.34,14.89,0.67,9.9763,1,train
43.17,810.17,96.23,453.2,713.94,7.65,0.09,0.6885,2,train
30.91,148.75,176.93,162.84,28.18,14.4,0.63,9.072,1,train
65.62,639.22,617.63,628.42,21.59,15.36,2.22,34.0992,3,train
33.91,252.91,110.85,181.88,142.06,14.97,0.35,5.2395,1,validation
24.06,121.53,0.0,60.76,121.53,14.93,0.59,8.8087,1,validation
44.41,467.04,496.88,481.96,29.84,16.72,1.39,23.2408,0,train
29.23,0.0,80.32,40.16,80.32,13.95,0.0,0.0,1,train
40.56,472.13,563.78,517.95,91.65,16.04,2.17,34.8068,0,train
30.14,74.89,7.7,41.3,67.19,16.65,0.47,7.8255,1,test
32.59,95.95,211.51,153.73,115.56,15.97,0.36,5.7492,1,train
46.52,158.47,873.55,516.01,715.08,7.09,0.59,4.1831,2,test
48.4,671.31,709.79,690.55,38.48,1.04,5.58,5.8032,4,train
83.44,805.21,866.49,835.85,61.28,14.13,2.76,38.9988,3,train
57.22,1001.1,978.71,989.9,22.39,14.7,3.44,50.568,3,train
60.74,806.76,811.58,809.17,4.82,16.08,3.55,57.084,3,train
78.34,841.44,947.07,894.26,105.63,13.95,3.32,46.314,3,train
47.29,112.77,494.44,303.6,381.67,10.46,1.61,16.8406,2,train
42.4,668.92,658.06,663.49,10.86,16.27,2.67,43.4409,0,test
